state,longitude,latitude,method,index_right,dtname,stname
UttarPradeshMadhyaPradeshRajasthan,78.35,27.85,unconstrained,15,Aligarh,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.35,27.85,unconstrained,15,Aligarh,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.85,26.75,unconstrained,194,Kanpur Dehat,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.45,25.35,unconstrained,43,Banda,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.35,26.65,unconstrained,45,Bara Banki,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.25,25.75,unconstrained,152,Hamirpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.85,25.35,unconstrained,405,Prayagraj,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.35,25.05,unconstrained,43,Banda,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.25,29.65,unconstrained,66,Bijnor,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.25,28.85,unconstrained,293,Rampur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.05,26.15,unconstrained,27,Azamgarh,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.95,26.85,unconstrained,129,Etawah,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.35,25.35,unconstrained,179,Jhansi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.45,26.25,unconstrained,171,Jalaun,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.85,28.35,unconstrained,73,Bulandshahr,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.95,27.75,unconstrained,314,Shahjahanpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.25,25.15,unconstrained,349,Tikamgarh,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.75,26.45,unconstrained,20,Amethi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.05,26.75,unconstrained,305,Sant Kabir Nagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.15,27.45,unconstrained,322,Siddharthnagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.75,27.05,unconstrained,132,Firozabad,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.85,27.35,unconstrained,540,Mahrajganj,UTTAR PRADESH
